time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.273954712611,-0.147715754573,12.132317627,6.24540944155,0.139854336995,0.0,-0.818881944039,-0.347249442852,3.17179144509,0.0211545643453,0.137202479932,0.0,447.99066874248194,448.85686889466075,447.2864848946895,447.2937830252406
1.3800000000000008,-0.326477925561,-0.169445183484,12.3287305341,6.24689813693,0.147953281426,0.0,-0.932767005863,-0.376875685568,3.37453386408,0.0312718344344,0.130130720179,0.0,481.59287554000207,481.0729386156158,479.39294027103887,480.1611440561417
1.4400000000000008,-0.385614956941,-0.192815211864,12.5345444513,6.24826344267,0.156054936822,0.0,-1.03924410946,-0.401929741095,3.48541358026,-0.00561551222236,0.143354373173,0.0,454.1286825321719,455.2044329437614,455.5986207013672,452.6396709626428
1.5000000000000009,-0.451030743018,-0.217605683334,12.7451934097,6.24765982947,0.16444779686,0.0,-1.14206439846,-0.42445170058,3.53586121118,-0.0208951669579,0.131837856027,0.0,435.44400718344474,434.4980471553246,438.3436795691225,437.072116052996
1.560000000000001,-0.522949810532,-0.243798628329,12.9598722108,6.246263688,0.172555995789,0.0,-1.25599377623,-0.448762590555,3.61961142229,-0.0284978247483,0.141024196429,0.0,447.3386786798272,448.102778377943,448.17882925656187,447.56039175941424
1.620000000000001,-0.601812491404,-0.271466548873,13.179199847,6.24431213727,0.18062743991,0.0,-1.37353648046,-0.473663227122,3.69083399389,-0.0421283064381,0.116550126644,0.0,445.9843776824419,443.9970803682032,445.33261569235503,444.2157783834161
1.680000000000001,-0.688743354908,-0.300851138158,13.4074233501,6.24258372135,0.188106562507,0.0,-1.52489552985,-0.506030288345,3.91556440486,-0.0105027878382,0.137265870347,0.0,492.3863578996805,493.92878663507736,490.52302560602476,492.86576487561143
1.740000000000001,-0.783771021812,-0.331962182982,13.642966405,6.24192223472,0.196165204229,0.0,-1.64341885731,-0.531052501285,3.93554257555,-0.0120897346628,0.127634392263,0.0,432.0005798339361,431.2047743132729,431.5150706088545,431.3811941738545
1.8000000000000012,-0.885709542716,-0.364513785529,13.8779245927,6.24106324001,0.203324510794,0.0,-1.75517899028,-0.554064151793,3.89629514594,-0.0191902138866,0.0923351051825,0.0,415.0217036382068,411.92473470589914,411.3102016401716,410.68089935310053
1.8600000000000012,-0.994614639309,-0.398490208771,14.1111923586,6.24004693755,0.20911571872,0.0,-1.87549731571,-0.578571215114,3.87913179747,-0.0127776379842,0.10379072634,0.0,419.4272392438282,420.4295500018114,419.8468191432506,420.4029348303571
1.9200000000000013,-1.11219028444,-0.434225355467,14.3496916903,6.23912077161,0.215106793515,0.0,-2.04425819338,-0.612657460216,4.06983736562,-0.021367701483,0.0905092785535,0.0,487.06993882984756,486.0831500911187,485.8748544626223,485.23048763818286
1.9800000000000013,-1.23882837052,-0.471784618086,14.5941,6.23822714391,0.220438789547,0.0,-2.17749744492,-0.639403180745,4.07682067274,-0.00435770066576,0.0853629421387,0.0,430.56555103433584,430.1367433893162,430.4195360744967,431.85693411729744
2.0400000000000014,-1.37351770955,-0.510951842008,14.838691539,6.2380089833,0.22582405836,0.0,-2.31262721895,-0.666184927607,4.07597082135,-0.0022302634078,0.0973370871969,0.0,428.88587600162714,429.90876928443674,428.0466060947106,428.2277039400804
2.1000000000000014,-1.51749829321,-0.551939504655,15.0878543314,6.23788300703,0.23243583658,0.0,-2.48729530617,-0.700046942352,4.22850482795,-0.00183953791149,0.128041011469,0.0,476.36481339285956,478.71648251492974,478.4182570617268,478.44805333644734
